ProductID,Name,ProductNumber,Color,OrderQty,UnitPrice,TolPricePOder,TolOrderQty,AmountPrice
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,5,5.1865,25.9325,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,6,5.1865,31.119,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,9,5.1865,46.6785,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,13,5.0136,65.1768,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,8,5.1865,41.492,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,6,5.1865,31.119,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,6,5.1865,31.119,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,7,5.1865,36.3055,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,7,5.1865,36.3055,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,10,5.1865,51.865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,6,5.1865,31.119,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,5,5.1865,25.9325,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,6,5.1865,31.119,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,5,5.1865,25.9325,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,6,5.1865,31.119,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,1,5.1865,5.1865,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,5,5.1865,25.9325,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,8,5.1865,41.492,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,4,5.1865,20.746,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,3,5.1865,15.5595,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,2,5.1865,10.373,25073,652400.4798
712,AWC Logo Cap,CA-1098,Multi,10,5.1865,51.865,25073,652400.4798
